pureza,fedi,x1,x2,x3,x4,x5,x6,x7
-0.001,10.0,4.831413831216415,59.23289450596718,59.21241003214191,31,56,23,48
-0.001,10.0,2.2599902443056488,62.10005093221849,59.75494330274298,28,55,52,40
-0.001,10.0,3.0335052014584076,72.58653789283575,59.27441291043043,1,44,40,40
-0.001,10.0,4.568173766038745,61.518250732969,53.729655040401155,4,4,18,43
-0.001,10.0,4.605326438410673,59.94156730965932,53.72110483572424,32,56,15,39
-0.001,10.0,3.5307037916048016,79.56054315464915,54.20879444007177,23,53,51,41
-0.001,10.0,4.568173766038745,79.72746168620064,52.96190215651471,23,15,50,44
-0.001,10.0,3.033273422863338,52.95389161869768,59.16146449447332,56,31,24,46
-0.001,10.0,4.986635915569474,60.87488704528797,59.21241003214191,31,56,23,48
-0.001,10.0,3.17455378631305,75.00388492105463,59.35932147390889,1,6,39,40
-0.001,10.0,4.983007345025652,56.5896068286785,54.21268353548521,54,55,18,32
-0.001,10.0,4.450237322129785,59.21078471060732,57.49149677181406,22,36,53,43
-0.001,10.0,4.355488482047491,61.518250732969,53.729655040401155,4,44,12,35
-0.001,10.0,4.0827171112181775,74.29707565942005,59.721974489102855,10,42,18,44
-0.001,10.0,2.543254178649682,66.19404769201665,52.95326635821971,18,14,50,47
-0.001,10.0,3.0335052014584076,58.13016338251548,53.76804747500102,23,14,41,40
-0.001,10.0,3.033273422863338,52.04200201733776,59.16146449447332,56,31,51,46
-0.001,10.0,2.403818078425906,52.95311132465095,59.281378222769426,24,35,25,43
-0.001,10.0,4.334386702178906,71.8664419941494,59.10624954738532,1,6,58,40
-0.001,10.0,3.1743220077179806,53.25220892029212,59.16146449447332,56,32,23,45
-0.001,10.0,4.6196438771139,67.74691785722632,56.090699772560555,6,5,19,44
-0.001,10.0,2.323738884313527,74.30016930717886,59.27395550205515,23,36,19,45
-0.001,10.0,4.568173766038745,92.3775510095363,53.729655040401155,15,42,27,50
-0.001,10.0,2.2629220873662503,62.10005093221849,59.75494330274298,28,55,24,40
-0.001,10.0,4.294042184579399,73.16154249068367,59.21233350658894,31,30,36,48
-0.001,10.0,4.983007345025652,80.28819193905001,54.247808930823375,22,9,50,32
-0.001,10.0,4.261866238828755,57.77751700571759,53.60207752425941,23,14,50,39
-0.001,10.0,4.831413831216415,59.23289450596718,59.67527972099263,18,55,23,48
-0.001,10.0,3.1743220077179806,53.25220892029212,59.35733728450527,56,32,17,45
