pureza,reboiler,x1,x2,x3,x4,x5
-0.952380618,90.33834537108001,0.2515672537665642,5.529296662298895,3,7,37
-0.952172878,39.663146211696,0.6362804011495884,2.630610815416454,3,13,27
-0.952379916,75.18645014868,0.19571649372610359,4.871568492463534,3,7,30
-0.258604674,4.932982507284,0.38097806014679075,2.367672597616692,3,1,27
-0.952380819,98.04896810316,0.3914360856834601,5.589643359661166,3,13,41
-0.369785816,7.067418297048,0.6503002732661224,2.1166940899933584,3,1,27
-0.936748053,13.11413716638,0.22862877252728364,1.617241076720112,3,5,34
-0.952380346,74.88259774416001,0.19571649372610359,4.8556841717622685,3,8,30
-0.952364433,54.8691528096,0.4953650561637028,3.422693777753333,3,7,32
-0.952380618,90.33834537108001,0.2515672537665642,5.529296662298895,3,7,37
-0.952095242,33.14076779952,0.3526759218184736,2.543980261160472,3,13,35
-0.950532379,22.17341358918,0.22862877252728364,2.0812860959240367,3,5,35
-0.952348365,43.91068571028,0.23465720248773103,3.191089434795675,3,13,35
-0.154777737,1.7839605034728,0.19811444126999567,2.0803261460766986,3,1,27
-0.952380819,98.04896810316,0.3914360856834601,5.589643359661166,3,13,41
-0.369785816,7.067418297048,0.6503002732661224,2.1166940899933584,3,1,27
-0.936748053,13.11413716638,0.22862877252728364,1.617241076720112,3,5,34
-0.258604674,4.932982507284,0.38097806014679075,2.367672597616692,3,1,27
